Chicago Revenue Type,Revenue of 2015-2016 Chicago%  Budget,"Source: 2016 Budget Overview. (pg 21, 25, 31, 34, 35). City of Chicago: https://www.cityofchicago.org/content/dam/city/depts/obm/supp_info/2016Budget/2016BudgetOverviewCoC.pdf"
Property Tax,18%,
Aviation,15%,
Sewer & Water,12%,
Federal Grants,11%,
Other Local Taxes,9%,
Other Non-Tax Revenue,7%,
Sales Taxes,7%,
Utility Taxes,5%,
Income Taxes,5%,
"Fines, Forfeitures and Penalties",5%,
State Grants,2%,
Other Resources,2%,
Other Grants,1%,